stl,n_faces,model,alpha_deg,Mach,CD,CL,CM,n_windward
PruebaARD.stl,182,MN,10.0,8.0,0.5901617607356328,0.05740956426318983,0.025224225118038214,99
PruebaARD.stl,182,MNM,10.0,8.0,0.5392172859942492,0.052453804179930064,0.02304679685193864,99
PruebaARD3.stl,1510,MN,10.0,8.0,0.6247064324054755,0.056060912433984506,0.027556992660787226,831
PruebaARD3.stl,1510,MNM,10.0,8.0,0.5707799614209935,0.05122157188790774,0.025178193135033403,831
PruebaARD4.stl,1510,MN,10.0,8.0,0.5957717687625108,0.06775316738796253,0.025099067096150254,829
PruebaARD4.stl,1510,MNM,10.0,8.0,0.5443430218584107,0.061904517485023666,0.02293244283347638,829
PruebaARD2.stl,400022,MN,10.0,8.0,0.6316682113845858,0.054480544178273374,0.02904302820249612,106608
PruebaARD2.stl,400022,MNM,10.0,8.0,0.5771407794484497,0.049777625603329115,0.026535949779062967,106608
