alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,8.0,1.4,1.8273541997099856,0.5568257729866204,-1.5449880957918438e-17,-1.0679391398982219e-17,-2.4231918555051024e-17,-0.5568257729866204,1.5449880957918438e-17,-1.0679391398982219e-17,7.543568714521924e-06,-2.7728470561316776e-17,844,666,0.0,1.8273541997099856
10.0,8.0,1.4,1.8273541997099856,0.5532139986558325,0.14955830126624003,0.025178193135033403,-0.00011819626955083462,-0.5532139986558325,-0.14955830126624003,0.025178193135033403,9.061188626454598e-06,-3.1958068336017544e-05,831,679,0.0,1.7722527283697993
20.0,8.0,1.4,1.8273541997099856,0.5424250007076485,0.2833723086712824,0.04741054764781648,-8.758845822945615e-05,-0.5424250007076485,-0.2833723086712824,0.04741054764781648,1.4342679798908706e-05,-5.1429262051415044e-05,807,703,0.0,1.6135943650039737
30.0,8.0,1.4,1.8273541997099856,0.5249885872678868,0.38869180646221846,0.06348834991640875,-1.738135206404273e-05,-0.5249885872678868,-0.38869180646221846,0.06348834991640875,2.06995718174388e-05,-4.1720497208560484e-05,798,712,0.0,1.5314894766973377
