alpha_deg,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,0.6094338722892295,-8.944667923005412e-18,-2.5804011705155006e-17,-3.7283002206345284e-17,-0.6094338722892295,8.944667923005412e-18,-2.5804011705155006e-17,8.256274252379399e-06,-5.946848916082992e-17,844,666,0.0,2.0
10.0,0.6054808627070024,0.16368835476994667,0.027556992660787226,-0.00012936328334089677,-0.6054808627070024,-0.16368835476994667,0.027556992660787226,9.917276713943109e-06,-3.4977420733312285e-05,831,679,0.0,1.9396926207859086
20.0,0.593672535728143,0.31014491740709665,0.05188982809719201,-9.586368996603286e-05,-0.593672535728143,-0.31014491740709665,0.05188982809719201,1.569775558694125e-05,-5.6288224865871055e-05,807,703,0.0,1.7660444431189781
30.0,0.5745887549892695,0.42541485008643254,0.06948663803271948,-1.9023517243615395e-05,-0.5745887549892695,-0.42541485008643254,0.06948663803271948,2.2655237633429226e-05,-4.5662189864623316e-05,798,712,0.0,1.6761824028865298
