alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,2.0,1.4,1.3116582192240247,0.3996844738308462,-2.3920210430461442e-17,-1.9895109865109006e-17,2.2497195079074217e-17,-0.3996844738308462,2.3920210430461442e-17,-1.9895109865109006e-17,5.414704991650565e-06,-3.537209587733958e-17,844,666,0.0,1.3116582192240247
0.0,4.0,1.4,1.5986759572904516,0.487143639593605,-8.483881999699072e-18,-1.4121733296623695e-17,-1.1238433144170057e-16,-0.487143639593605,8.483881999699072e-18,-1.4121733296623695e-17,6.59955357203859e-06,-4.1579153314819095e-17,844,666,0.0,1.5986759572904516
0.0,8.0,1.4,1.6703830554527697,0.508994006845448,1.2332799712022613e-16,-1.620882247865829e-17,1.2626889551309306e-16,-0.508994006845448,-1.2332799712022613e-16,-1.620882247865829e-17,6.89557030617377e-06,1.734723475976807e-18,844,666,0.0,1.6703830554527697
0.0,12.0,1.4,1.6836601081570128,0.5130397496665156,2.1230033789981784e-17,-4.716279450311944e-18,1.8491068051740278e-16,-0.5130397496665156,-2.1230033789981784e-17,-4.716279450311944e-18,6.950379800368395e-06,-4.206704429243757e-17,844,666,0.0,1.6836601081570128
0.0,15.0,1.4,1.6874837816420274,0.5142048877356865,5.886540170238486e-17,-1.734723475976807e-17,6.435417520059272e-17,-0.5142048877356865,-5.886540170238486e-17,-1.734723475976807e-17,6.966164448839766e-06,-6.743737512859838e-17,844,666,0.0,1.6874837816420274
0.0,20.0,1.4,1.6904577135557601,0.5151110951567418,-1.6845791254993525e-17,-2.699663409488906e-17,8.117963766485214e-17,-0.5151110951567418,1.6845791254993525e-17,-2.699663409488906e-17,6.978441247583125e-06,-1.5368565794982025e-17,844,666,0.0,1.6904577135557601
