alpha_deg,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,0.6197613127857456,-9.768661574094395e-17,-7.182839392716467e-18,1.8516140226979005e-16,-0.6197613127857456,9.768661574094395e-17,-7.182839392716467e-18,5.694937636973488e-07,-9.974659986866641e-18,3844,5944,0.0,2.0
10.0,0.6156847791142,0.16573251042967732,0.029146496950869565,6.438922435330046e-11,-0.6156847791142,-0.16573251042967732,0.029146496950869565,5.437271807782336e-07,-9.742523350385465e-08,3844,5944,0.0,1.9396926207859086
20.0,0.6037396813687733,0.3123546815746064,0.054467523235780566,2.0511675614226507e-06,-0.6037396813687733,-0.3123546815746064,0.054467523235780566,4.1465043760327854e-07,-1.2550943371528634e-06,3768,6020,0.0,1.7660444431189781
30.0,0.5839823001712046,0.42703177781161955,0.07235121381718493,1.4353184702528265e-06,-0.5839823001712046,-0.42703177781161955,0.07235121381718493,3.193132924723624e-07,-1.0833995722319128e-06,3739,6049,0.0,1.6373749419492023
