alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
-30.0,8.0,1.4,1.8273541997099856,0.9438325261639401,-0.08936339553060375,-0.06720441222895285,7.222677522610845e-05,0.9438325261639401,-0.08936339553060375,-0.06720441222895285,1.2165059434969326e-05,-5.061766817236225e-06,712,726,0.0,1.784440235663674
-20.0,8.0,1.4,1.8273541997099856,1.09677198008038,-0.06131626496397443,-0.049625242371551075,-1.4298452408564866e-05,1.09677198008038,-0.06131626496397443,-0.049625242371551075,7.57248168710123e-06,-2.7344269093712483e-05,704,734,0.0,1.8269895159020624
-10.0,8.0,1.4,1.8273541997099856,1.196047732430491,-0.03134395961813292,-0.0264246291983674,-5.3560569959481327e-05,1.196047732430491,-0.03134395961813292,-0.0264246291983674,5.827067785657423e-06,-3.080251094565072e-05,681,757,0.0,1.8260285668250482
0.0,8.0,1.4,1.8273541997099856,1.230397046298054,-3.187554387107383e-17,-3.2526065174565133e-18,2.2985086056692694e-17,1.230397046298054,-3.187554387107383e-17,-3.2526065174565133e-18,4.3485051423123326e-06,-2.2898349882893854e-16,666,772,0.0,1.8243964440844613
10.0,8.0,1.4,1.8273541997099856,1.1960477324304915,0.03134395961813293,0.026424629198367546,5.3560569959409336e-05,1.1960477324304915,0.03134395961813293,0.026424629198367546,5.827067785663974e-06,3.080251094533413e-05,681,757,0.0,1.8260285668250482
20.0,8.0,1.4,1.8273541997099856,1.0967719800803784,0.06131626496397457,0.04962524237155138,1.4298452408519763e-05,1.0967719800803784,0.06131626496397457,0.04962524237155138,7.572481687114489e-06,2.7344269093564164e-05,704,734,0.0,1.8269895159020624
30.0,8.0,1.4,1.8273541997099856,0.943832526163938,0.08936339553060366,0.06720441222895296,-7.222677522619129e-05,0.943832526163938,0.08936339553060366,0.06720441222895296,1.216505943498857e-05,5.061766817090509e-06,712,726,0.0,1.784440235663674
