alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,8.0,1.4,1.8273541997099856,0.5701372760541157,-8.035428876104755e-16,-1.3830608072652392e-16,-3.3696664707670576e-16,-0.5701372760541157,8.035428876104755e-16,-1.3830608072652392e-16,3.354319237366875e-08,-1.795980898722238e-16,66978,67146,0.0,1.8273541997099856
10.0,8.0,1.4,1.8273541997099856,0.5662436030008785,0.15105907683959743,0.026888191330403623,-5.990277851305185e-10,-0.5662436030008785,-0.15105907683959743,0.026888191330403623,3.2091081830741534e-08,-5.714962338751838e-09,66964,67160,0.0,1.7722527283697993
20.0,8.0,1.4,1.8273541997099856,0.5547634326242089,0.28574345692892184,0.050426457766860305,2.567949786800726e-10,-0.5547634326242089,-0.28574345692892184,0.050426457766860305,2.821351071656466e-08,-1.1281188891590428e-08,65769,68355,0.0,1.6135943650039737
30.0,8.0,1.4,1.8273541997099856,0.5362702023449643,0.3910247947386225,0.06704231827645593,-2.602461591872865e-09,-0.5362702023449643,-0.3910247947386225,0.06704231827645593,2.172455353384909e-08,-9.924707941926525e-09,65426,68698,0.0,1.4715823295096444
