alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,8.0,1.4,1.8273541997099856,0.5662617188684039,-3.38000027272356e-17,1.6290137641594704e-17,2.4885827990331344e-16,-0.5662617188684039,3.38000027272356e-17,1.6290137641594704e-17,5.203334104007904e-07,-1.1058862159352145e-17,3844,5944,0.0,1.8273541997099856
10.0,8.0,1.4,1.8273541997099856,0.5625370834059242,0.1514259994810754,0.02663048680500288,5.883099701300097e-11,-0.5625370834059242,-0.1514259994810754,0.02663048680500288,4.967910736455492e-07,-8.901520486166714e-08,3844,5944,0.0,1.7722527283697993
20.0,8.0,1.4,1.8273541997099856,0.5516231211403985,0.2853913195872156,0.049765728666352364,1.8741048294518786e-06,-0.5516231211403985,-0.2853913195872156,0.049765728666352364,3.788566092825711e-07,-1.146750954041781e-06,3768,6020,0.0,1.6135943650039737
30.0,8.0,1.4,1.8273541997099856,0.533571254387076,0.39016915629684173,0.06610564721147397,1.3114176174134424e-06,-0.533571254387076,-0.39016915629684173,0.06610564721147397,2.9174924301181273e-07,-9.898773791751857e-07,3739,6049,0.0,1.4960319883353843
