alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,1.0,1.4,1.27561308391122,0.8683752756533183,-5.982085486688771e-17,7.375285278332644e-17,1.7509865085640897e-16,0.8683752756533183,-5.982085486688771e-17,7.375285278332644e-17,1.8397942831227672e-07,-3.4380050889515346e-16,5944,3844,0.0,1.2753500107604823
0.0,2.0,1.4,1.657300290294042,1.1282093407287266,-1.452830911130576e-17,1.0842021724855044e-18,-1.7352655770630498e-16,1.1282093407287266,-1.452830911130576e-17,1.0842021724855044e-18,2.3902950180994977e-07,-8.397145825900232e-17,5944,3844,0.0,1.6569585007541061
0.0,4.0,1.4,1.7917929466171532,1.2197653924664822,3.6499666136724507e-16,4.083918533209774e-16,-5.051297921609965e-16,1.2197653924664822,3.6499666136724507e-16,4.083918533209774e-16,2.5842714074464204e-07,2.244298497044994e-16,5944,3844,0.0,1.7914234202914345
0.0,8.0,1.4,1.8273541997099856,1.2439737620313158,-2.0017082609513626e-16,1.929879867024198e-17,-3.594130201789447e-17,1.2439737620313158,-2.0017082609513626e-16,1.929879867024198e-17,2.6355607764288194e-07,-3.563772540959853e-16,5944,3844,0.0,1.8269773394904607
0.0,12.0,1.4,1.834020280203468,1.2485117050479437,2.413705086495854e-16,2.5760643618255585e-16,-1.457167719820518e-16,1.2485117050479437,2.413705086495854e-16,2.5760643618255585e-16,2.645175146915438e-07,2.4340338772299575e-17,5944,3844,0.0,1.8336420452200586
0.0,15.0,1.4,1.8359447285034736,1.249821775745768,-2.7294789692322574e-17,2.7693233990710997e-16,-8.700722434196173e-17,1.249821775745768,-2.7294789692322574e-17,2.7693233990710997e-16,2.647950744804229e-07,-5.627009275199768e-17,5944,3844,0.0,1.8355660966358647
0.0,20.0,1.4,1.8374429451254888,1.2508416886712022,-2.3310346708438345e-18,2.548417206427178e-16,-3.3594004314463355e-16,1.2508416886712022,-2.3310346708438345e-18,2.548417206427178e-16,2.650111596254927e-07,2.550585610772149e-16,5944,3844,0.0,1.8370640042765969
