alpha_deg,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
-30.0,-1.0451650754502013,0.09734107040802753,-0.07395747211601202,1.4175981055561068e-06,1.0451650754502013,-0.09734107040802753,-0.07395747211601202,2.1639146967739303e-07,-7.017175574231265e-07,6049,3739,0.0,1.9655612292349454
-20.0,-1.2141957260978666,0.06770554552348704,-0.054135663102483175,2.0259545700715962e-06,1.2141957260978666,-0.06770554552348704,-0.054135663102483175,2.920553581352703e-07,-9.663847471838506e-07,6020,3768,0.0,1.9997732828652441
-10.0,-1.3235836604698337,0.03556314881899117,-0.028642020757658586,1.0804074648818052e-16,1.3235836604698337,-0.03556314881899117,-0.028642020757658586,2.7540943670436483e-07,4.932896282221861e-08,5944,3844,0.0,1.9996968234293597
0.0,-1.361502616437189,3.108949729602184e-16,3.111660235033398e-17,1.6181717424346154e-16,1.361502616437189,-3.108949729602184e-16,3.111660235033398e-17,2.884564773321632e-07,-5.1553813301685736e-17,5944,3844,0.0,1.999587534568192
10.0,-1.323583660469832,-0.035563148818991405,0.0286420207576583,-2.4334917761437147e-16,1.323583660469832,0.035563148818991405,0.0286420207576583,2.754094367118995e-07,-4.932896267173135e-08,5944,3844,0.0,1.9996968234293597
20.0,-1.2141957260978644,-0.06770554552348676,0.054135663102483335,-2.0259545699609534e-06,1.2141957260978644,0.06770554552348676,0.054135663102483335,2.920553581497372e-07,9.663847462550688e-07,6020,3768,0.0,1.9997732828652441
30.0,-1.0451650754502069,-0.09734107040802832,0.07395747211601236,-1.4175981055393558e-06,1.0451650754502069,0.09734107040802832,0.07395747211601236,2.1639146969853052e-07,7.017175572731271e-07,6049,3739,0.0,1.9655612292349454
