alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,2.0,1.4,1.657300290294042,0.8287046879616292,6.3108178619942166e-18,-2.971633633538915e-18,-2.2308487484548997e-15,0.8287046879616292,6.3108178619942166e-18,-2.971633633538915e-18,-7.28524106170291e-13,-3.6291512540850933e-19,12324,12324,0.0,1.657300290294042
0.0,4.0,1.4,1.7917929466171532,0.895955442362697,-1.649359057146794e-18,-3.2140345454200572e-18,-2.3738834354662476e-15,0.895955442362697,-1.649359057146794e-18,-3.2140345454200572e-18,-7.876450709587084e-13,-4.000927686025527e-19,12324,12324,0.0,1.7917929466171532
0.0,6.0,1.4,1.8180637188927677,0.9090916930884531,5.721513197108243e-18,-3.2598319581121253e-18,-2.454865313754853e-15,0.9090916930884531,5.721513197108243e-18,-3.2598319581121253e-18,-7.99193009487987e-13,-3.9888075530825583e-19,12324,12324,0.0,1.8180637188927677
0.0,8.0,1.4,1.8273541997099856,0.9137372392527362,-1.8899113295911876e-17,-3.275991115498484e-18,-2.5592165477504602e-15,0.9137372392527362,-1.8899113295911876e-17,-3.275991115498484e-18,-8.032774101683362e-13,-3.8835773057131464e-19,12324,12324,0.0,1.8273541997099856
0.0,10.0,1.4,1.831670977387537,0.915895770159429,-9.397384001502654e-18,-3.2869017800723893e-18,-2.6458758503722e-15,0.915895770159429,-9.397384001502654e-18,-3.2869017800723893e-18,-8.051748230420667e-13,-3.948687905814736e-19,12324,12324,0.0,1.831670977387537
0.0,12.0,1.4,1.834020280203468,0.9170704988844616,7.696654701870844e-18,-3.288719038240835e-18,-2.4440078760620234e-15,0.9170704988844616,7.696654701870844e-18,-3.288719038240835e-18,-8.062074995805511e-13,-4.1891208576510905e-19,12324,12324,0.0,1.834020280203468
0.0,15.0,1.4,1.8359447285034736,0.9180327863692872,-2.7271396455912903e-18,-3.2974002653471203e-18,-2.3434365859776747e-15,0.9180327863692872,-2.7271396455912903e-18,-3.2974002653471203e-18,-8.070534108194807e-13,-4.1806336336099683e-19,12324,12324,0.0,1.8359447285034736
0.0,20.0,1.4,1.8374429451254888,0.9187819439875707,-8.98166073246849e-19,-3.2957447452916554e-18,-2.3392624275224857e-15,0.9187819439875707,-8.98166073246849e-19,-3.2957447452916554e-18,-8.077119213910444e-13,-4.527605423352986e-19,12324,12324,0.0,1.8374429451254888
