alpha_deg,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
-30.0,-1.0330044676765262,0.09780632079405965,-0.07355378857543732,7.905065721530236e-05,1.0330044676765262,-0.09780632079405965,-0.07355378857543732,1.3314396778577808e-05,-5.539995276227037e-06,712,726,0.0,1.9530315862648606
-20.0,-1.2003934215429557,0.06710933761359002,-0.05431376399761684,-1.564934965618374e-05,1.2003934215429557,-0.06710933761359002,-0.05431376399761684,8.287918881082889e-06,-2.992771636497289e-05,704,734,0.0,1.9996008613896736
-10.0,-1.3090486043924185,0.034305291905759074,-0.028921190213217804,-5.862089568384361e-05,1.3090486043924185,-0.034305291905759074,-0.028921190213217804,6.377600781044806e-06,-3.371268794027157e-05,681,757,0.0,1.9985491232240058
0.0,-1.3466431921007187,-3.881443777498106e-17,1.4289784633358948e-16,-2.6020852139652106e-17,1.3466431921007187,3.881443777498106e-17,1.4289784633358948e-16,4.759345662709545e-06,-1.951563910473908e-16,666,772,0.0,1.9967627998709898
10.0,-1.3090486043924188,-0.034305291905759074,0.028921190213218012,5.862089568391604e-05,1.3090486043924188,0.034305291905759074,0.028921190213218012,6.377600781052072e-06,3.371268794019177e-05,681,757,0.0,1.9985491232240058
20.0,-1.2003934215429561,-0.06710933761359003,0.05431376399761716,1.5649349656204556e-05,1.2003934215429561,0.06710933761359003,0.05431376399761716,8.287918881096594e-06,2.9927716364773396e-05,704,734,0.0,1.9996008613896736
30.0,-1.033004467676526,-0.09780632079405983,0.07355378857543741,-7.905065721537522e-05,1.033004467676526,0.09780632079405983,0.07355378857543741,1.3314396778598457e-05,5.539995276044023e-06,712,726,0.0,1.9530315862648606
