alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
-30.0,8.0,1.4,1.8273541997099856,-0.8880770594195271,0.08611749676325106,-0.05876238607695257,0.0003249226329221232,0.8880770594195271,-0.08611749676325106,-0.05876238607695257,4.1962843992617984e-05,-0.00010546850037142284,90,104,0.0,1.7514026343485092
-20.0,8.0,1.4,1.8273541997099856,-1.0318546935181776,0.0588347670794568,-0.043144705363141335,3.411867845823054e-05,1.0318546935181776,-0.0588347670794568,-0.043144705363141335,3.5146778343878965e-05,-0.00012754797824967006,90,104,0.0,1.8236326818953377
-10.0,8.0,1.4,1.8273541997099856,-1.1250733216036963,0.03015906460447681,-0.022931154904388032,-7.760905895214435e-05,1.1250733216036963,-0.03015906460447681,-0.022931154904388032,2.824488752698372e-05,-8.452286678195379e-05,81,113,0.0,1.8174706999095604
0.0,8.0,1.4,1.8273541997099856,-1.1573187597772736,5.204170427930421e-18,8.933825901280557e-17,-2.417770844642675e-17,1.1573187597772736,-5.204170427930421e-18,8.933825901280557e-17,2.0088309970119696e-05,-1.4072944198861848e-16,78,116,0.0,1.808578592042361
10.0,8.0,1.4,1.8273541997099856,-1.1250733216036963,-0.03015906460447682,0.02293115490438822,7.760905895217406e-05,1.1250733216036963,0.03015906460447682,0.02293115490438822,2.824488752699074e-05,8.452286678168144e-05,81,113,0.0,1.8174706999095604
20.0,8.0,1.4,1.8273541997099856,-1.0318546935181774,-0.05883476707945681,0.043144705363141495,-3.411867845824713e-05,1.0318546935181774,0.05883476707945681,0.043144705363141495,3.514677834389237e-05,0.0001275479782494452,90,104,0.0,1.8236326818953377
30.0,8.0,1.4,1.8273541997099856,-0.8880770594195271,-0.08611749676325103,0.058762386076952694,-0.0003249226329221354,0.8880770594195271,0.08611749676325103,0.058762386076952694,4.1962843992636103e-05,0.00010546850037122053,90,104,0.0,1.7514026343485092
