alpha_deg,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
-30.0,1.0493791048400691,-0.0973680304591666,-0.07386569130930444,-1.8279587572954327e-10,1.0493791048400691,-0.0973680304591666,-0.07386569130930444,6.060276786692545e-09,9.867016941307182e-09,68698,65426,0.0,1.9989126028571913
-20.0,1.2193007352408485,-0.06741967184147268,-0.05410479948877535,2.2301938518994686e-09,1.2193007352408485,-0.06741967184147268,-0.05410479948877535,7.957866289998883e-09,3.091072880058584e-09,68355,65769,0.0,1.9999664734225842
-10.0,1.3295708970363853,-0.03481180070311399,-0.028727008959278964,3.9134115807398957e-10,1.3295708970363853,-0.03481180070311399,-0.028727008959278964,9.583237989682113e-09,1.9557659269823645e-09,67160,66964,0.0,1.9999653752903082
0.0,1.367766404535082,1.0810444336581404e-15,-5.356466951846744e-16,-1.0517574224738757e-15,1.367766404535082,1.0810444336581404e-15,-5.356466951846744e-16,1.0033729061483712e-08,-1.6719752752442085e-16,67146,66978,0.0,1.9999617551369724
10.0,1.329570897036381,0.034811800703113065,0.02872700895928175,-3.9134116679165267e-10,1.329570897036381,0.034811800703113065,0.02872700895928175,9.583237997260305e-09,-1.955765785026419e-09,67160,66964,0.0,1.9999653752903082
20.0,1.2193007352408611,0.06741967184147071,0.05410479948877443,-2.230192979272574e-09,1.2193007352408611,0.06741967184147071,0.05410479948877443,7.95786630449805e-09,-3.091072500520061e-09,68355,65769,0.0,1.9999664734225842
30.0,1.0493791048400725,0.09736803045916657,0.07386569130930479,1.8279502083613027e-10,1.0493791048400725,0.09736803045916657,0.07386569130930479,6.060276807486304e-09,-9.867015057231468e-09,68698,65426,0.0,1.9989126028571913
