alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,8.0,1.4,1.8273541997099856,0.5095261656288955,2.1196152472091612e-17,9.540979117872439e-18,2.074891907594134e-17,-0.5095261656288955,-2.1196152472091612e-17,9.540979117872439e-18,-0.0003807160537493096,-1.951563910473908e-17,116,78,0.0,1.8273541997099856
10.0,8.0,1.4,1.8273541997099856,0.5068281778229059,0.14374575924193772,0.020917487149771243,-0.000282859919704741,-0.5068281778229059,-0.14374575924193772,0.020917487149771243,-0.00034213692067203394,-0.00018690760376783615,113,81,0.0,1.7722527283697993
20.0,8.0,1.4,1.8273541997099856,0.49868344002078097,0.2723346057724355,0.03926341687461046,-0.0003493977100339899,-0.49868344002078097,-0.2723346057724355,0.03926341687461046,-0.0002142632983641079,-0.0003195615259361924,104,90,0.0,1.6135943650039737
30.0,8.0,1.4,1.8273541997099856,0.48523469757446225,0.37384988575975847,0.052258656008029265,-0.00018833267272816033,-0.48523469757446225,-0.37384988575975847,0.052258656008029265,-1.4544751370941284e-05,-0.0003633159295619344,104,90,0.0,1.5043382172653799
