alpha_deg,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,0.6244777604123803,-3.2597575931137077e-16,-1.6357425806575688e-16,-1.9802571515621474e-18,-0.6244777604123803,3.2597575931137077e-16,-1.6357425806575688e-16,-3.300568925267789e-11,2.007937923580622e-17,57246,293548,0.0,2.0
10.0,0.6201988019229924,0.16536393842836897,0.029475337123484456,-1.147812588302377e-10,-0.6201988019229924,-0.16536393842836897,0.029475337123484456,-1.3227137446662445e-11,-2.489186304805815e-10,57380,293414,0.0,1.9396926207859086
20.0,0.6075967920800421,0.31279106723607064,0.055276726972143135,-2.0613933164574158e-10,-0.6075967920800421,-0.31279106723607064,0.055276726972143135,4.4080617956008983e-11,-4.660086229351807e-10,56858,293936,0.0,1.7660444431189781
30.0,0.5873009217310335,0.4280372371532013,0.07349176629619772,-1.4316133244431672e-10,-0.5873009217310335,-0.4280372371532013,0.07349176629619772,1.3345885397198122e-10,-6.071281722648322e-10,56660,294134,0.0,1.5878728589997442
