cdata,,cps,,I_cpO,,U_infty_x,U_infty_y,U_infty_z
3.12657024352806e-07,,3.12657024352806e-07,,12325,,0,1,0
2.81120944939546e-06,,2.81120944939546e-06,,12326,,0,1,0
7.79201838160999e-06,,7.79201838160999e-06,,12327,,0,1,0
1.52243835712915e-05,,1.52243835712915e-05,,12328,,0,1,0
2.50608222533752e-05,,2.50608222533752e-05,,12329,,0,1,0
3.7239021124708e-05,,3.7239021124708e-05,,12330,,0,1,0
5.16824567360352e-05,,5.16824567360352e-05,,12331,,0,1,0
6.82995512281126e-05,,6.82995512281126e-05,,12332,,0,1,0
8.69846760872053e-05,,8.69846760872053e-05,,12333,,0,1,0
0.000107620851665297,,0.000107620851665297,,12334,,0,1,0
0.000130077249346815,,0.000130077249346815,,12335,,0,1,0
0.000154211465457023,,0.000154211465457023,,12336,,0,1,0
0.000179869920211684,,0.000179869920211684,,12337,,0,1,0
0.000206892795067699,,0.000206892795067699,,12338,,0,1,0
0.000235108758360693,,0.000235108758360693,,12339,,0,1,0
0.000264337188063575,,0.000264337188063575,,12340,,0,1,0
0.00029439512697753,,0.00029439512697753,,12341,,0,1,0
0.000325092880356898,,0.000325092880356898,,12342,,0,1,0
0.000356235688689949,,0.000356235688689949,,12343,,0,1,0
0.000387626344085408,,0.000387626344085408,,12344,,0,1,0
0.000419066300076071,,0.000419066300076071,,12345,,0,1,0
0.000450356448964935,,0.000450356448964935,,12346,,0,1,0
0.000481302008598646,,0.000481302008598646,,12347,,0,1,0
0.000511703141339415,,0.000511703141339415,,12348,,0,1,0
0.000541371513057727,,0.000541371513057727,,12349,,0,1,0
0.00057011595727488,,0.00057011595727488,,12350,,0,1,0
0.000597756157417535,,0.000597756157417535,,12351,,0,1,0
0.000624117919438068,,0.000624117919438068,,12352,,0,1,0
0.000649034348217087,,0.000649034348217087,,12353,,0,1,0
0.000672348797980948,,0.000672348797980948,,12354,,0,1,0
0.00069391020722856,,0.00069391020722856,,12355,,0,1,0
0.000713587845900539,,0.000713587845900539,,12356,,0,1,0
0.000731252819080624,,0.000731252819080624,,12357,,0,1,0
0.000746795294705345,,0.000746795294705345,,12358,,0,1,0
0.000760116233346771,,0.000760116233346771,,12359,,0,1,0
0.00077113237692495,,0.00077113237692495,,12360,,0,1,0
0.000779773425397541,,0.000779773425397541,,12361,,0,1,0
0.000785985059693212,,0.000785985059693212,,12362,,0,1,0
