cdata,,cps,,I_cpO,,U_infty_x,U_infty_y,U_infty_z
0.000590412035361698,,0.000590412035361698,,265,,0,1,0
0.00507503947280707,,0.00507503947280707,,266,,0,1,0
0.0128426426686002,,0.0128426426686002,,267,,0,1,0
0.0218118774376032,,0.0218118774376032,,268,,0,1,0
0.0295794922664467,,0.0295794922664467,,269,,0,1,0
0.03406410342639,,0.03406410342639,,270,,0,1,0
0.03406410342639,,0.03406410342639,,271,,0,1,0
0.0295794922664467,,0.0295794922664467,,272,,0,1,0
0.0218118774376032,,0.0218118774376032,,273,,0,1,0
0.0128426426686002,,0.0128426426686002,,274,,0,1,0
0.00507503947280707,,0.00507503947280707,,275,,0,1,0
0.000590412035361698,,0.000590412035361698,,276,,0,1,0
0.000590412035361698,,0.000590412035361698,,277,,0,1,0
0.00507503947280707,,0.00507503947280707,,278,,0,1,0
0.0128426426686002,,0.0128426426686002,,279,,0,1,0
0.0218118774376032,,0.0218118774376032,,280,,0,1,0
0.0295794922664467,,0.0295794922664467,,281,,0,1,0
0.03406410342639,,0.03406410342639,,282,,0,1,0
0.03406410342639,,0.03406410342639,,283,,0,1,0
0.0295794922664467,,0.0295794922664467,,284,,0,1,0
0.0218118774376032,,0.0218118774376032,,285,,0,1,0
0.0128426426686002,,0.0128426426686002,,286,,0,1,0
0.00507503947280707,,0.00507503947280707,,287,,0,1,0
0.000590412035361698,,0.000590412035361698,,288,,0,1,0
0.0335033682742552,,0.0335033682742552,,289,,0,1,0
0.0291568764101524,,0.0291568764101524,,290,,0,1,0
0.0291569231889587,,0.0291569231889587,,291,,0,1,0
0.02158289953878,,0.02158289953878,,292,,0,1,0
0.02158289953878,,0.02158289953878,,293,,0,1,0
0.0127644497099909,,0.0127644497099909,,294,,0,1,0
0.0127644401865022,,0.0127644401865022,,295,,0,1,0
0.00506368582399164,,0.00506368582399164,,296,,0,1,0
0.00506368732356777,,0.00506368732356777,,297,,0,1,0
0.0335033682742552,,0.0335033682742552,,298,,0,1,0
0.0335033682742552,,0.0335033682742552,,299,,0,1,0
0.0335033682742552,,0.0335033682742552,,300,,0,1,0
0.0291568764101524,,0.0291568764101524,,301,,0,1,0
0.0291569231889587,,0.0291569231889587,,302,,0,1,0
0.02158289953878,,0.02158289953878,,303,,0,1,0
0.02158289953878,,0.02158289953878,,304,,0,1,0
0.0127644497099909,,0.0127644497099909,,305,,0,1,0
0.0127644401865022,,0.0127644401865022,,306,,0,1,0
0.00506368582399164,,0.00506368582399164,,307,,0,1,0
0.00506368732356777,,0.00506368732356777,,308,,0,1,0
0.0335033682742552,,0.0335033682742552,,309,,0,1,0
0.0291568764101524,,0.0291568764101524,,310,,0,1,0
0.0291569231889587,,0.0291569231889587,,311,,0,1,0
0.02158289953878,,0.02158289953878,,312,,0,1,0
0.02158289953878,,0.02158289953878,,313,,0,1,0
0.0127644497099909,,0.0127644497099909,,314,,0,1,0
0.0127644401865022,,0.0127644401865022,,315,,0,1,0
0.00506368582399164,,0.00506368582399164,,316,,0,1,0
0.00506368732356777,,0.00506368732356777,,317,,0,1,0
0.0335033682742552,,0.0335033682742552,,318,,0,1,0
0.0335033682742552,,0.0335033682742552,,319,,0,1,0
0.0335033682742552,,0.0335033682742552,,320,,0,1,0
0.0291568764101524,,0.0291568764101524,,321,,0,1,0
0.0291569231889587,,0.0291569231889587,,322,,0,1,0
0.02158289953878,,0.02158289953878,,323,,0,1,0
0.02158289953878,,0.02158289953878,,324,,0,1,0
0.0127644497099909,,0.0127644497099909,,325,,0,1,0
0.0127644401865022,,0.0127644401865022,,326,,0,1,0
0.00506368582399164,,0.00506368582399164,,327,,0,1,0
0.00506368732356777,,0.00506368732356777,,328,,0,1,0
0.287986895716024,,0.287986895716024,,329,,0,1,0
0.250625504266866,,0.250625504266866,,330,,0,1,0
0.250625208870161,,0.250625208870161,,331,,0,1,0
0.18552100067695,,0.18552100067695,,332,,0,1,0
0.18552100067695,,0.18552100067695,,333,,0,1,0
0.109719983493247,,0.109719983493247,,334,,0,1,0
0.109719983493247,,0.109719983493247,,335,,0,1,0
0.0435261858613405,,0.0435261858613405,,336,,0,1,0
0.0435261858613405,,0.0435261858613405,,337,,0,1,0
0.287986895716024,,0.287986895716024,,338,,0,1,0
0.287986895716024,,0.287986895716024,,339,,0,1,0
0.287986895716024,,0.287986895716024,,340,,0,1,0
0.250625504266866,,0.250625504266866,,341,,0,1,0
0.250625082271627,,0.250625082271627,,342,,0,1,0
0.18552100067695,,0.18552100067695,,343,,0,1,0
0.185521145905405,,0.185521145905405,,344,,0,1,0
0.109719983493247,,0.109719983493247,,345,,0,1,0
0.109719983493247,,0.109719983493247,,346,,0,1,0
0.0435261858613405,,0.0435261858613405,,347,,0,1,0
0.0435261858613405,,0.0435261858613405,,348,,0,1,0
0.728764849940156,,0.728764849940156,,349,,0,1,0
0.634219697731744,,0.634219697731744,,350,,0,1,0
0.634219697731744,,0.634219697731744,,351,,0,1,0
0.469470432795134,,0.469470432795134,,352,,0,1,0
0.469470432795134,,0.469470432795134,,353,,0,1,0
0.277651998629638,,0.277651998629638,,354,,0,1,0
0.277651820963188,,0.277651820963188,,355,,0,1,0
0.110145177612269,,0.110145177612269,,356,,0,1,0
0.110145275526538,,0.110145275526538,,357,,0,1,0
0.728764849940156,,0.728764849940156,,358,,0,1,0
0.728764849940156,,0.728764849940156,,359,,0,1,0
0.728764849940156,,0.728764849940156,,360,,0,1,0
0.634219697731744,,0.634219697731744,,361,,0,1,0
0.634219697731744,,0.634219697731744,,362,,0,1,0
0.469470432795134,,0.469470432795134,,363,,0,1,0
0.469470606063995,,0.469470606063995,,364,,0,1,0
0.277651998629638,,0.277651998629638,,365,,0,1,0
0.277651820963188,,0.277651820963188,,366,,0,1,0
0.110145177612269,,0.110145177612269,,367,,0,1,0
0.110145275526538,,0.110145275526538,,368,,0,1,0
1.23773172953907,,1.23773172953907,,369,,0,1,0
1.07715686061602,,1.07715686061602,,370,,0,1,0
1.07715703558642,,1.07715703558642,,371,,0,1,0
0.797347096900758,,0.797347096900758,,372,,0,1,0
