alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,8.0,1.4,1.6703830554527697,0.48223568157373176,5.7042368319766166e-05,-9.243142046557856e-05,-0.00028483669584127073,-0.48223568157373176,-5.7042368319766166e-05,-9.243142046557856e-05,-1.0595825345147342e-05,0.00037813790643889987,844,666,0.0,1.6703830554527697
10.0,8.0,1.4,1.6703830554527697,0.4801979146926974,0.14213166352191148,0.020962528192540738,-0.000539200882612754,-0.4801979146926974,-0.14213166352191148,0.020962528192540738,-4.126023351027757e-06,0.00031861742803679887,829,681,0.0,1.6682980326387822
20.0,8.0,1.4,1.6703830554527697,0.4741155543760972,0.2690330748376772,0.039882550326375395,-0.0007049948632356411,-0.4741155543760972,-0.2690330748376772,0.039882550326375395,9.219165287030308e-06,0.00024785160560769967,818,692,0.0,1.6275286546147347
30.0,8.0,1.4,1.6703830554527697,0.4641735507122482,0.367414642106145,0.054305010728871485,-0.0007273377367707126,-0.4641735507122482,-0.367414642106145,0.054305010728871485,2.5587932807818785e-05,0.00016827150873932977,791,719,0.0,1.6546144651683288
