x_center,y_center,z_center,cp
-114.4220757484436,-655.0719807942709,-350.18902587890625,0.053078750560899376
-33.92840242385864,-616.1908162434896,-335.56577555338544,0.2937950045137181
78.29142586390178,-648.1821695963541,-351.8323669433594,0.23368807048921497
144.56072552998862,-616.1908162434896,-305.9468180338542,0.21932348107629254
248.5904541015625,-649.9608561197916,-275.7340799967448,0.13393455080273678
283.10057067871094,-617.9695027669271,-204.77295430501303,0.3100617730933576
349.8766276041667,-649.9608561197916,-123.10269737243652,0.29902505884978325
336.0530700683594,-616.1908162434896,-41.907124837239586,0.7306580488225823
356.2205403645833,-648.1821695963541,63.335550944010414,0.7523058004612095
309.8476969401042,-616.1908162434896,137.58357302347818,0.8182799872289718
278.9330596923828,-655.0719807942709,242.41299438476562,0.7270024090125042
204.07105509440103,-623.0806274414062,283.9002634684245,0.9730529619820839
114.4220757484436,-655.0719807942709,350.18902587890625,0.9342750945600101
33.92840242385864,-616.1908162434896,335.56577555338544,1.3668871944191967
-78.29142586390178,-648.1821695963541,351.8323669433594,1.2638915983027879
-144.56072552998862,-616.1908162434896,305.9468180338542,1.2499170920323448
-248.5904541015625,-649.9608561197916,275.7340799967448,0.8269238986548013
-283.10057067871094,-617.9695027669271,204.77295430501303,0.9580104585133712
-349.8766276041667,-649.9608561197916,123.10269737243652,0.588741449143306
-336.0530700683594,-616.1908162434896,41.907124837239586,0.766695448125045
-356.2205403645833,-648.1821695963541,-63.335550944010414,0.5358220379893343
-309.8476969401042,-616.1908162434896,-137.58357302347818,0.5576325230191119
-278.9330596923828,-655.0719807942709,-242.41299438476562,0.0963478035004505
-204.07105509440103,-623.0806274414062,-283.9002634684245,0.1749558185452464
-158.67977396647134,-939.4537556966146,-457.23289998372394,0.0062122509996787425
-78.6495246887207,-893.3663330078125,-458.40325927734375,0.021518888689315025
47.23520024617513,-929.4681396484375,-474.7299092610677,0.009396099810095971
119.50365829467773,-885.301025390625,-440.5301513671875,0.002576693079444993
247.85236612955728,-929.4681396484375,-404.7400410970052,0.0014701440073314593
303.1203358968099,-885.301025390625,-344.16200764973956,0.02681631761236734
402.8335673014323,-929.4681396484375,-263.4001007080078,0.03200873339741165
426.80739339192706,-885.301025390625,-181.0872548421224,0.17169065915043172
480.1859436035156,-929.4681396484375,-69.55800882975261,0.16604295680632747
463.5051981608073,-885.301025390625,23.94274648030599,0.3596703041443281
461.82249959309894,-931.3884480794271,147.61599477132162,0.3265744127778476
404.1957194010417,-887.2213338216146,229.16602325439453,0.5896589962471993
343.74891153971356,-933.3087565104166,339.6708679199219,0.5260436778976122
262.0943959554036,-895.2866414388021,385.71441650390625,0.8026644102538225
303.85114034016925,-740.1239013671875,273.7204844156901,0.5580451141689776
246.79706827799478,-801.2497762044271,352.7611490885417,0.4250304134008708
-138.87792332967123,-801.2497762044271,-403.250244140625,0.00036106947406755826
-73.56405242284139,-740.1239013671875,-399.03090413411456,0.0
58.93280426661173,-788.0733439127604,-419.9841613769531,0.0
246.13343302408853,-788.0733439127604,-347.3768310546875,0.0
130.29460922876993,-735.0127766927084,-387.40887451171875,0.0
379.12070719401044,-788.0733439127604,-196.0599161783854,0.008761419307040748
298.15997823079425,-735.0127766927084,-281.58758544921875,0.010866982921246602
427.3331807454427,-788.0733439127604,-0.06273714701334636,0.07785047298144739
396.3272399902344,-735.0127766927084,-108.53615379333496,0.08712631948211914
379.59527587890625,-788.0733439127604,196.16890716552734,0.21801364286591152
401.05003865559894,-735.0127766927084,90.61339505513509,0.26073251870499664
158.67977396647134,-939.4537556966146,457.23289998372394,0.7376609727732231
78.6495246887207,-893.3663330078125,458.40325927734375,0.8387397190999538
-54.946356455485024,-931.3884480794271,476.42369588216144,0.797801592208171
-127.21481450398763,-887.2213338216146,442.22393798828125,0.8043147463209
-245.63190205891928,-928.7000122070312,407.7276204427083,0.6088181229166691
-293.188715616862,-882.6125895182291,345.45580037434894,0.5225398251623486
-389.7843933105469,-928.7000122070312,271.81507873535156,0.3315010710722345
-423.68983968098956,-887.2213338216146,188.20844014485678,0.5407030331526343
-477.0683898925781,-931.3884480794271,76.67919413248698,0.22485937177798945
-463.5051981608073,-885.301025390625,-23.94274648030599,0.3395747164383562
-459.2520243326823,-929.4681396484375,-141.99358876546225,0.06262210716574644
-401.625244140625,-885.301025390625,-223.54361724853516,0.10400492654871656
-341.1784362792969,-931.3884480794271,-334.0484619140625,0.002884293077981678
-262.0943959554036,-895.2866414388021,-385.71441650390625,0.06490388352354726
-303.85114034016925,-740.1239013671875,-273.7204844156901,0.03293931076636041
-246.79706827799478,-801.2497762044271,-352.7611490885417,0.0
138.87792332967123,-801.2497762044271,403.250244140625,0.6794759624117914
73.56405242284139,-740.1239013671875,399.03090413411456,0.5941315120118289
-58.93280426661173,-788.0733439127604,419.9841613769531,0.5307828111119032
-246.13343302408853,-788.0733439127604,347.3768310546875,0.39844700968651964
-130.29460922876993,-735.0127766927084,387.40887451171875,0.6277088807465916
-379.12070719401044,-788.0733439127604,196.0599161783854,0.2152864731309103
-298.15997823079425,-735.0127766927084,281.58758544921875,0.49862064150840585
-427.3331807454427,-788.0733439127604,0.06273714701334636,0.06762409625379116
-396.3272399902344,-735.0127766927084,108.53615379333496,0.29298313190706604
-379.59527587890625,-788.0733439127604,-196.16890716552734,0.0037914218427435014
