alpha_deg,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,0.577395322587271,6.829854760983709e-05,-0.00011067092684383554,-0.00034104356472174844,-0.577395322587271,-6.829854760983709e-05,-0.00011067092684383554,-1.2686701185765094e-05,0.0004527559175178495,844,666,0.0,2.0
10.0,0.5749554428550347,0.1701785264858132,0.02509906709615025,-0.0006456014754851224,-0.5749554428550347,-0.1701785264858132,0.02509906709615025,-4.9402121717629776e-06,0.0003814902539830024,829,681,0.0,1.9975035393143135
20.0,0.5676728494442066,0.32212141276152323,0.04775258009973635,-0.0008441116077346125,-0.5676728494442066,-0.32212141276152323,0.04775258009973635,1.1038384587217998e-05,0.00029676020095940116,818,692,0.0,1.9486891336712957
30.0,0.5557689886723975,0.43991662978951224,0.06502102682567226,-0.000870863403931552,-0.5557689886723975,-0.43991662978951224,0.06502102682567226,3.06372035136379e-05,0.00020147655136945218,791,719,0.0,1.9811197913760366
