alpha_deg,Mach,gamma,cp_max_stagnation,CD,CL,CM,CF_total_x,CF_total_y,CF_total_z,CM_total_x,CM_total_y,CM_total_z,n_windward,n_leeward,cp_min,cp_max
0.0,2.0,1.4,1.3116582192240247,0.37867266030655133,4.47921756667653e-05,-7.258121541192284e-05,-0.0002236662973903873,-0.37867266030655133,-4.47921756667653e-05,-7.258121541192284e-05,-8.320307942574863e-06,0.0002969305102572927,844,666,0.0,1.3116582192240247
0.0,4.0,1.4,1.5986759572904516,0.46153401003611744,5.459362299090905e-05,-8.846347495813597e-05,-0.00027260907365464395,-0.46153401003611744,-5.459362299090905e-05,-8.846347495813597e-05,-1.014096208150559e-05,0.00036190499992840746,844,666,0.0,1.5986759572904516
0.0,8.0,1.4,1.6703830554527697,0.48223568157373176,5.7042368319766166e-05,-9.243142046557856e-05,-0.00028483669584127073,-0.48223568157373176,-5.7042368319766166e-05,-9.243142046557856e-05,-1.0595825345147342e-05,0.00037813790643889987,844,666,0.0,1.6703830554527697
0.0,12.0,1.4,1.6836601081570128,0.4860687356383189,5.7495770027877634e-05,-9.316611232985104e-05,-0.00028710072253269035,-0.4860687356383189,-5.7495770027877634e-05,-9.316611232985104e-05,-1.0680046345290637e-05,0.00038114353852842814,844,666,0.0,1.6836601081570128
