x_center,y_center,z_center,cp
225.1294911702474,-573.0191243489584,293.5191243489583,0.0
205.78296915690103,-592.0765177408854,322.84691365559894,0.0
217.64972941080728,-630.1913045247396,344.5688781738281,0.0
250.09651692708334,-649.2486979166666,336.81219482421875,0.0
-148.28996785481772,-649.2486979166666,-392.4293619791667,0.0
-172.3480656941732,-630.1913045247396,-369.3172912597656,0.0
-160.48130544026694,-592.0765177408854,-347.59532674153644,0.0
-125.349853515625,-573.0191243489584,-348.02899169921875,0.0
-82.02384948730469,-592.0765177408854,-374.32494099934894,0.0
0.4266802469889323,-592.0765177408854,-383.20607503255206,0.0
-39.63554382324219,-573.0191243489584,-367.9680887858073,0.0
-60.94303639729818,-649.2486979166666,-415.24232991536456,0.0
-93.09720357259114,-630.1913045247396,-397.0033467610677,0.0
82.77671432495117,-592.0765177408854,-373.7977803548177,0.0
48.35878117879232,-573.0191243489584,-366.7399597167969,0.0
29.29384994506836,-649.2486979166666,-418.7742614746094,0.0
-9.8074582417806,-630.1913045247396,-407.8019104003906,0.0
118.19965362548828,-649.2486979166666,-402.85081990559894,0.0
73.94592157999675,-630.1913045247396,-401.2362467447917,0.0
206.6880849202474,-592.0765177408854,-322.68731689453125,0.0
157.4579340616862,-573.0191243489584,-334.72939046223956,0.0
201.61477661132812,-649.2486979166666,-368.21392822265625,0.0
154.56552378336588,-630.1913045247396,-377.58180745442706,0.0
271.2693125406901,-592.0765177408854,-270.6658986409505,0.0
232.1661631266276,-573.0191243489584,-288.2192840576172,0.0
275.638188680013,-649.2486979166666,-316.48671468098956,0.0
228.58900451660156,-630.1913045247396,-337.85448201497394,0.0
322.84691365559894,-592.0765177408854,-205.78296915690103,0.0
293.5191243489583,-573.0191243489584,-225.1294911702474,0.0
336.81219482421875,-649.2486979166666,-250.09651692708334,0.0
292.8404184977214,-630.1913045247396,-283.7661641438802,0.0
374.32494099934894,-592.0765177408854,-82.02384948730469,0.0
348.02899169921875,-573.0191243489584,-125.349853515625,0.0
392.4293619791667,-649.2486979166666,-148.28996785481772,0.0
369.3172912597656,-630.1913045247396,-172.3480656941732,0.0
383.20607503255206,-592.0765177408854,0.4266802469889323,0.0
367.9680887858073,-573.0191243489584,-39.63554382324219,0.0
415.24232991536456,-649.2486979166666,-60.94303639729818,0.0
397.0033467610677,-630.1913045247396,-93.09720357259114,0.0
373.7977803548177,-592.0765177408854,82.77671432495117,0.0
366.7399597167969,-573.0191243489584,48.35878117879232,0.0
418.7742614746094,-649.2486979166666,29.29384994506836,0.0
407.8019104003906,-630.1913045247396,-9.8074582417806,0.0
402.85081990559894,-649.2486979166666,118.19965362548828,0.0
401.2362467447917,-630.1913045247396,73.94592157999675,0.0
322.68731689453125,-592.0765177408854,206.6880849202474,0.0
334.72939046223956,-573.0191243489584,157.4579340616862,0.0
368.21392822265625,-649.2486979166666,201.61477661132812,0.0
377.58180745442706,-630.1913045247396,154.56552378336588,0.0
270.6658986409505,-592.0765177408854,271.2693125406901,0.0
288.2192840576172,-573.0191243489584,232.1661631266276,0.0
316.48671468098956,-649.2486979166666,275.638188680013,0.0
337.85448201497394,-630.1913045247396,228.58900451660156,0.0
283.7661641438802,-630.1913045247396,292.8404184977214,0.0
132.30960083007812,-592.0765177408854,-359.2644348144531,0.0
344.5688781738281,-630.1913045247396,-217.64972941080728,0.0
347.59532674153644,-592.0765177408854,-160.48130544026694,0.0
359.2644348144531,-592.0765177408854,132.30960083007812,0.0
-225.1294911702474,-573.0191243489584,-293.5191243489583,0.0
-205.78296915690103,-592.0765177408854,-322.84691365559894,0.0
-217.64972941080728,-630.1913045247396,-344.5688781738281,0.0
-250.09651692708334,-649.2486979166666,-336.81219482421875,0.0
148.28996785481772,-649.2486979166666,392.4293619791667,0.0
172.3480656941732,-630.1913045247396,369.3172912597656,0.0
160.48130544026694,-592.0765177408854,347.59532674153644,0.0
125.349853515625,-573.0191243489584,348.02899169921875,0.0
82.02384948730469,-592.0765177408854,374.32494099934894,0.0
-0.4266802469889323,-592.0765177408854,383.20607503255206,0.0
39.63554382324219,-573.0191243489584,367.9680887858073,0.0
60.94303639729818,-649.2486979166666,415.24232991536456,0.0
93.09720357259114,-630.1913045247396,397.0033467610677,0.0
-82.77671432495117,-592.0765177408854,373.7977803548177,0.0
-48.35878117879232,-573.0191243489584,366.7399597167969,0.0
-29.29384994506836,-649.2486979166666,418.7742614746094,0.0
9.8074582417806,-630.1913045247396,407.8019104003906,0.0
-118.19965362548828,-649.2486979166666,402.85081990559894,0.0
-73.94592157999675,-630.1913045247396,401.2362467447917,0.0
-206.6880849202474,-592.0765177408854,322.68731689453125,0.0
-157.4579340616862,-573.0191243489584,334.72939046223956,0.0
-201.61477661132812,-649.2486979166666,368.21392822265625,0.0
-154.56552378336588,-630.1913045247396,377.58180745442706,0.0
-271.2693125406901,-592.0765177408854,270.6658986409505,0.0
-232.1661631266276,-573.0191243489584,288.2192840576172,0.0
-275.638188680013,-649.2486979166666,316.48671468098956,0.0
-228.58900451660156,-630.1913045247396,337.85448201497394,0.0
-322.84691365559894,-592.0765177408854,205.78296915690103,0.0
-293.5191243489583,-573.0191243489584,225.1294911702474,0.0
-336.81219482421875,-649.2486979166666,250.09651692708334,0.0
-292.8404184977214,-630.1913045247396,283.7661641438802,0.0
-374.32494099934894,-592.0765177408854,82.02384948730469,0.0
-348.02899169921875,-573.0191243489584,125.349853515625,0.0
-392.4293619791667,-649.2486979166666,148.28996785481772,0.0
-369.3172912597656,-630.1913045247396,172.3480656941732,0.0
-383.20607503255206,-592.0765177408854,-0.4266802469889323,0.0
-367.9680887858073,-573.0191243489584,39.63554382324219,0.0
-415.24232991536456,-649.2486979166666,60.94303639729818,0.0
-397.0033467610677,-630.1913045247396,93.09720357259114,0.0
-373.7977803548177,-592.0765177408854,-82.77671432495117,0.0
-366.7399597167969,-573.0191243489584,-48.35878117879232,0.0
-418.7742614746094,-649.2486979166666,-29.29384994506836,0.0
-407.8019104003906,-630.1913045247396,9.8074582417806,0.0
-402.85081990559894,-649.2486979166666,-118.19965362548828,0.0
-401.2362467447917,-630.1913045247396,-73.94592157999675,0.0
-322.68731689453125,-592.0765177408854,-206.6880849202474,0.0
-334.72939046223956,-573.0191243489584,-157.4579340616862,0.0
-368.21392822265625,-649.2486979166666,-201.61477661132812,0.0
-377.58180745442706,-630.1913045247396,-154.56552378336588,0.0
-270.6658986409505,-592.0765177408854,-271.2693125406901,0.0
-288.2192840576172,-573.0191243489584,-232.1661631266276,0.0
-316.48671468098956,-649.2486979166666,-275.638188680013,0.0
-337.85448201497394,-630.1913045247396,-228.58900451660156,0.0
-283.7661641438802,-630.1913045247396,-292.8404184977214,0.0
-132.30960083007812,-592.0765177408854,359.2644348144531,0.0
-344.5688781738281,-630.1913045247396,217.64972941080728,0.0
-347.59532674153644,-592.0765177408854,160.48130544026694,0.0
-359.2644348144531,-592.0765177408854,-132.30960083007812,0.0
267.7774200439453,-985.1570841471354,421.32509358723956,0.0
291.2545471191406,-956.3524373372396,397.9529520670573,0.0
257.9795735677083,-898.7431640625,405.88170369466144,0.0
280.46485392252606,-869.9385375976562,383.1854553222656,0.0
248.1817169189453,-812.3292846679688,390.4383036295573,0.0
269.67515563964844,-783.524658203125,368.41794840494794,0.0
238.3838653564453,-725.9153849283854,374.9949035644531,0.0
-180.43569946289062,-985.1570841471354,-465.47023518880206,0.023536412882087587
-208.02139282226562,-956.3524373372396,-447.12732950846356,0.023536503893312032
-173.8389689127604,-898.7431640625,-448.412109375,0.02353646299462834
-200.3200225830078,-869.9385375976562,-430.5386250813802,0.023536473908524067
-167.24224344889322,-812.3292846679688,-431.35399373372394,0.023536491036156987
-192.61865743001303,-783.524658203125,-413.9499206542969,0.02353644005044928
-186.74798075358072,-725.9153849283854,-403.20372517903644,0.02353649844717859
-86.15993881225586,-985.1570841471354,-491.7276306152344,0.03237467667177722
-116.79410552978516,-956.3524373372396,-479.11887613932294,0.0323745877518629
-83.01784133911133,-898.7431640625,-473.71030680338544,0.032374604100154594
-112.4770113627116,-869.9385375976562,-461.34644571940106,0.032374666539938375
-79.87573877970378,-812.3292846679688,-455.6929931640625,0.032374606859964454
-108.15991719563802,-783.524658203125,-443.5740254720052,0.032374690034276385
-100.60951487223308,-725.9153849283854,-433.0479431152344,0.03806418688156686
11.426898956298828,-985.1570841471354,-499.0881856282552,0.03588235948158172
-21.07848358154297,-956.3524373372396,-492.6981506347656,0.035882230788701244
10.99362055460612,-898.7431640625,-480.8040771484375,0.035882117760259596
-20.31157048543294,-869.9385375976562,-474.42498779296875,0.03588215918487112
10.560342152913412,-812.3292846679688,-462.51995849609375,0.03588211689662789
-19.54465611775716,-783.524658203125,-456.1518249511719,0.03588216017611672
-10.143470764160156,-725.9153849283854,-444.61948649088544,0.04612992319668499
108.57460912068684,-985.1570841471354,-487.26906331380206,0.03295694163705538
75.44717152913411,-956.3524373372396,-487.3432922363281,0.0329570090459174
104.5826047261556,-898.7431640625,-469.4208170572917,0.0329568820097948
72.6344362894694,-869.9385375976562,-469.2716369628906,0.032956779139977355
100.5905990600586,-812.3292846679688,-451.5725504557292,0.03295671425337974
69.82169596354167,-783.524658203125,-451.19996134440106,0.0329567799469998
80.7991205851237,-725.9153849283854,-437.4119364420573,0.04492103680492124
201.54985555013022,-985.1570841471354,-456.72446695963544,0.024515844297477146
169.07343546549478,-956.3524373372396,-463.26011149088544,0.024515902355170538
194.15253194173178,-898.7431640625,-439.9979654947917,0.024515906429621877
162.7891387939453,-869.9385375976562,-446.0844421386719,0.024515873013923557
186.75521341959634,-812.3292846679688,-423.27146402994794,0.024515781097168843
156.50484212239584,-783.524658203125,-428.90875244140625,0.024515723047379374
168.34456888834634,-725.9153849283854,-411.72540283203125,0.03491925851483764
286.7796579996745,-985.1570841471354,-408.6282145182292,0.013338144742250887
256.2023010253906,-956.3524373372396,-421.3741048177083,0.013338134859838322
276.26129659016925,-898.7431640625,-393.66623942057294,0.013338103336458879
246.68794759114584,-869.9385375976562,-405.75445556640625,0.013338165403830413
265.74293518066406,-812.3292846679688,-378.70428466796875,0.013338174680214886
237.17359415690103,-783.524658203125,-390.1348164876302,0.013338095313469144
248.7643788655599,-725.9153849283854,-368.65386962890625,0.019757227121433314
360.9886779785156,-985.1570841471354,-344.82861328125,0.0035838986040641046
333.48546346028644,-956.3524373372396,-363.29494222005206,0.003583875617729367
347.7534891764323,-898.7431640625,-332.20615641276044,0.0035838082763796067
321.10667928059894,-869.9385375976562,-349.83156331380206,0.003583843428996776
334.51829020182294,-812.3292846679688,-319.5836995442708,0.003583834645356511
308.72789510091144,-783.524658203125,-336.3682047526042,0.0035838707587579686
318.6367899576823,-725.9153849283854,-310.03772989908856,0.005588436070249824
421.32509358723956,-985.1570841471354,-267.7774200439453,0.0
397.9529520670573,-956.3524373372396,-291.2545471191406,0.0
405.88170369466144,-898.7431640625,-257.9795735677083,0.0
383.1854553222656,-869.9385375976562,-280.46485392252606,0.0
390.4383036295573,-812.3292846679688,-248.1817169189453,0.0
368.41794840494794,-783.524658203125,-269.67515563964844,0.0
374.9949035644531,-725.9153849283854,-238.3838653564453,0.0
465.47023518880206,-985.1570841471354,-180.43569946289062,0.0
447.12732950846356,-956.3524373372396,-208.02139282226562,0.0
448.412109375,-898.7431640625,-173.8389689127604,0.0
430.5386250813802,-869.9385375976562,-200.3200225830078,0.0
431.35399373372394,-812.3292846679688,-167.24224344889322,0.0
413.9499206542969,-783.524658203125,-192.61865743001303,0.0
403.20372517903644,-725.9153849283854,-186.74798075358072,0.0
491.7276306152344,-985.1570841471354,-86.15993881225586,0.0
479.11887613932294,-956.3524373372396,-116.79410552978516,0.0
473.71030680338544,-898.7431640625,-83.01784133911133,0.0
461.34644571940106,-869.9385375976562,-112.4770113627116,0.0
455.6929931640625,-812.3292846679688,-79.87573877970378,0.0
443.5740254720052,-783.524658203125,-108.15991719563802,0.0
433.0479431152344,-725.9153849283854,-100.60951487223308,0.0
499.0881856282552,-985.1570841471354,11.426898956298828,0.0
492.6981506347656,-956.3524373372396,-21.07848358154297,0.0
480.8040771484375,-898.7431640625,10.99362055460612,0.0
474.42498779296875,-869.9385375976562,-20.31157048543294,0.0
462.51995849609375,-812.3292846679688,10.560342152913412,0.0
456.1518249511719,-783.524658203125,-19.54465611775716,0.0
444.61948649088544,-725.9153849283854,-10.143470764160156,0.0
487.26906331380206,-985.1570841471354,108.57460912068684,0.0
487.3432922363281,-956.3524373372396,75.44717152913411,0.0
469.4208170572917,-898.7431640625,104.5826047261556,0.0
469.2716369628906,-869.9385375976562,72.6344362894694,0.0
451.5725504557292,-812.3292846679688,100.5905990600586,0.0
451.19996134440106,-783.524658203125,69.82169596354167,0.0
437.4119364420573,-725.9153849283854,80.7991205851237,0.0
456.72446695963544,-985.1570841471354,201.54985555013022,0.0
463.26011149088544,-956.3524373372396,169.07343546549478,0.0
439.9979654947917,-898.7431640625,194.15253194173178,0.0
446.0844421386719,-869.9385375976562,162.7891387939453,0.0
